/HPS/EgoSyn/work/anaconda3/envs/egofullbody/lib/python3.9/site-packages/mmcv/__init__.py:20: UserWarning: On January 1, 2023, MMCV will release v2.0.0, in which it will remove components related to the training process and add a data transformation module. In addition, it will rename the package names mmcv to mmcv-lite and mmcv-full to mmcv. See https://github.com/open-mmlab/mmcv/blob/master/docs/en/compatibility.md for more details.
  warnings.warn(
2023-08-22 16:41:26.200 | INFO     | human_body_prior.tools.model_loader:load_model:100 - Loaded model in eval mode with trained weights: /CT/EgoMocap/work/EgocentricFullBody/3rdparty/human_body_prior/support_data/downloads/V02_05/snapshots/V02_05_epoch=13_val_loss=0.03.ckpt
it 51 -- [total loss = 1.55e+03] - data = 1.54e+03 | poZ_body = 5.83e-03 | betas = 2.51e+00
it 52 -- [total loss = 1.51e+03] - data = 1.50e+03 | poZ_body = 5.68e-03 | betas = 2.63e+00
it 53 -- [total loss = 1.46e+03] - data = 1.46e+03 | poZ_body = 5.52e-03 | betas = 2.54e+00
it 54 -- [total loss = 1.42e+03] - data = 1.42e+03 | poZ_body = 5.46e-03 | betas = 2.55e+00
it 55 -- [total loss = 1.38e+03] - data = 1.38e+03 | poZ_body = 5.35e-03 | betas = 2.52e+00
it 56 -- [total loss = 1.34e+03] - data = 1.34e+03 | poZ_body = 5.17e-03 | betas = 2.53e+00
it 57 -- [total loss = 2.14e+03] - data = 2.14e+03 | poZ_body = 4.44e-03 | betas = 2.22e+00
it 58 -- [total loss = 1.30e+03] - data = 1.30e+03 | poZ_body = 5.01e-03 | betas = 2.46e+00
it 59 -- [total loss = 1.29e+03] - data = 1.29e+03 | poZ_body = 4.76e-03 | betas = 2.51e+00
it 60 -- [total loss = 1.26e+03] - data = 1.26e+03 | poZ_body = 4.87e-03 | betas = 2.48e+00
it 61 -- [total loss = 1.24e+03] - data = 1.23e+03 | poZ_body = 4.89e-03 | betas = 2.51e+00
it 62 -- [total loss = 1.24e+03] - data = 1.24e+03 | poZ_body = 4.79e-03 | betas = 2.53e+00
it 63 -- [total loss = 1.21e+03] - data = 1.21e+03 | poZ_body = 4.84e-03 | betas = 2.52e+00
it 64 -- [total loss = 1.19e+03] - data = 1.19e+03 | poZ_body = 4.71e-03 | betas = 2.45e+00
it 65 -- [total loss = 1.18e+03] - data = 1.18e+03 | poZ_body = 4.58e-03 | betas = 2.58e+00
it 66 -- [total loss = 1.16e+03] - data = 1.16e+03 | poZ_body = 4.64e-03 | betas = 2.51e+00
it 67 -- [total loss = 1.15e+03] - data = 1.14e+03 | poZ_body = 4.51e-03 | betas = 2.55e+00
it 68 -- [total loss = 1.13e+03] - data = 1.13e+03 | poZ_body = 4.55e-03 | betas = 2.54e+00
it 69 -- [total loss = 1.12e+03] - data = 1.12e+03 | poZ_body = 4.47e-03 | betas = 2.55e+00
it 70 -- [total loss = 1.11e+03] - data = 1.11e+03 | poZ_body = 4.47e-03 | betas = 2.55e+00
